"Timestamp","Qual sua faixa etária?","Qual o tipo de atividade que você realiza atualmente?","Qual a sua participação em relação às atividades citadas acima?","Como você avalia a carga horária da atividade em relação à sua rotina de estudos?","A participação em projetos de pesquisa ou laboratórios ajudou a compreender melhor os conteúdos vistos em sala de aula.","A atividade que desenvolvo no projeto contribui para a minha formação profissional.","Já pensou em desistir da atividade de laboratório ou extensão por excesso de demandas acadêmicas?","A bolsa que recebo é suficiente para cobrir minhas principais despesas acadêmicas.","Recebo orientação adequada do meu professor orientador.","Sinto que não tenho tempo suficiente para conciliar as disciplinas regulares, a atividade no laboratório/projeto e minha vida pessoal.","Sua participação no projeto já resultou em alguma produção acadêmica? (ex: artigo, resumo, apresentação em evento, etc.).","Você já recomendou a colegas a participação no laboratório ou projeto?","Você participa de mais de um projeto/laboratório ao mesmo tempo?","A participação no laboratório/projeto contribui para o desenvolvimento das minhas habilidades interpessoais (como comunicação, trabalho em equipe e liderança).","O reconhecimento (formal ou informal) pelo meu trabalho no laboratório/projeto contribuiu para minha motivação no curso.","Acredito que as atividades extracurriculares contribuem para reduzir a evasão de alunos do curso."
"2025/06/23 12:54:33 PM GMT-3","18 - 21 anos","Iniciação Científica","Bolsista","Muito boa","Concordo parcialmente","Concordo totalmente","Não","Concordo parcialmente","Concordo totalmente","Nem concordo nem discordo","Não","Sim","Não","Concordo totalmente","Concordo totalmente","Concordo totalmente"
"2025/06/23 12:58:58 PM GMT-3","18 - 21 anos","Iniciação Científica","Voluntário","Muito boa","Nem concordo nem discordo","Concordo totalmente","Sim","Nem concordo nem discordo","Concordo totalmente","Concordo parcialmente","Não","Sim","Sim","Concordo parcialmente","Concordo totalmente","Concordo totalmente"
"2025/06/23 1:00:32 PM GMT-3","18 - 21 anos","Projeto de inovação tecnologica junto ao IMESC","Bolsista","Adequada","Concordo parcialmente","Concordo totalmente","Não","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Não","Sim","Não","Concordo totalmente","Concordo totalmente","Concordo totalmente"
"2025/06/23 1:02:00 PM GMT-3","18 - 21 anos","Projeto de Extensão;Laboratório","Voluntário","Adequada","Concordo parcialmente","Concordo totalmente","Sim","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Sim","Sim","Sim","Concordo totalmente","Concordo parcialmente","Concordo totalmente"
"2025/06/23 1:32:56 PM GMT-3","26 - 30 anos","Laboratório","Voluntário","Boa","Concordo totalmente","Concordo totalmente","Não","Nem concordo nem discordo","Concordo totalmente","Concordo parcialmente","Não","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo totalmente"
"2025/06/23 2:08:50 PM GMT-3","18 - 21 anos","Iniciação Científica","Bolsista","Muito boa","Concordo totalmente","Concordo totalmente","Não","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Sim","Sim","Não","Concordo parcialmente","Concordo totalmente","Discordo parcialmente"
"2025/06/23 2:15:52 PM GMT-3","22 - 25 anos","Projeto de Extensão","Bolsista","Muito boa","Concordo parcialmente","Concordo totalmente","Não","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Sim","Sim","Não","Concordo totalmente","Concordo totalmente","Concordo parcialmente"
"2025/06/23 2:38:16 PM GMT-3","18 - 21 anos","Iniciação Científica","Bolsista","Adequada","Nem concordo nem discordo","Concordo parcialmente","Sim","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Não","Não","Não","Concordo totalmente","Nem concordo nem discordo","Concordo parcialmente"
"2025/06/23 3:43:34 PM GMT-3","22 - 25 anos","Iniciação Científica","Bolsista","Boa","Concordo totalmente","Concordo totalmente","Não","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Sim","Sim","Não","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"2025/06/23 3:43:55 PM GMT-3","18 - 21 anos","Estágio (pela Universidade)","Não se aplica à minha atividade","Boa","Concordo parcialmente","Concordo totalmente","Não","Nem concordo nem discordo","Discordo parcialmente","Discordo parcialmente","Não","Não","Não","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo"
