"Timestamp","Qual sua faixa etária?","Recebi uma boa base de aprendizado durante os anos escolares.","Me sinto acolhido(a) por professores e monitores quando tenho dúvidas.","Participa de algum laboratório ou projeto de pesquisa da universidade? ","Participa de atividades extra curriculares, como eventos e esportes na faculdade? ","Atualmente enfrento dificuldades financeiras.","Considero o meio acadêmico do qual faço parte acolhedor. ","Recebe alguma bolsa/auxilio da faculdade? ","Já trancou cadeiras por não acompanhar o conteúdo? ","Considera trocar de curso? ","Trabalha no contraturno das aulas? ","Consigo acompanhar a maioria dos conteúdos ministrados em sala de aula atualmente. ","As dificuldades financeiras afetam minha vida acadêmica. ","A participação em laboratórios ou projetos de pesquisa ajuda (ou ajudaria) a compreender melhor os conteúdos das disciplinas. ","Você conhece as oportunidades de iniciação científica, monitoria ou laboratórios oferecidas pela universidade? ","Você atende aos requisitos necessários para participar de projetos de iniciação científica (CR acima de 7.0 e disciplinas pagas em caso de reprovação)?","Me sinto preparado(a) para atuar no mercado de trabalho com o que aprendo na graduação.","Como você avalia a grade currilar vigente? ","Como você avalia a infraestrutura do prédio de computação? "
"2025/06/23 1:01:38 PM GMT-3","18 - 21 anos","Concordo parcialmente","Discordo parcialmente","Sim","Não","Nem concordo nem discordo","Nem concordo nem discordo","Sim","Não","Sim","Sim","Discordo totalmente","Concordo parcialmente","Concordo parcialmente","Sim","Sim","Discordo parcialmente","Neutro","Ruim"
"2025/06/23 1:11:39 PM GMT-3","18 - 21 anos","Concordo parcialmente","Discordo parcialmente","Sim","Sim","Discordo parcialmente","Discordo parcialmente","Sim","Sim","Não","Sim","Nem concordo nem discordo","Discordo parcialmente","Concordo totalmente","Sim","Não","Discordo totalmente","Ruim","Neutro"
"2025/06/23 2:07:29 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo totalmente","Sim","Sim","Discordo totalmente","Discordo parcialmente","Sim","Não","Sim","Não","Concordo parcialmente","Discordo totalmente","Concordo totalmente","Não","Sim","Nem concordo nem discordo","Neutro","Neutro"
"2025/06/23 2:07:38 PM GMT-3","22 - 25 anos","Concordo totalmente","Nem concordo nem discordo","Não","Não","Discordo totalmente","Discordo totalmente","Não","Sim","Sim","Sim","Discordo totalmente","Discordo totalmente","Nem concordo nem discordo","Sim","Não","Discordo totalmente","Muito ruim","Neutro"
"2025/06/23 2:10:03 PM GMT-3","18 - 21 anos","Concordo parcialmente","Concordo totalmente","Não","Sim","Nem concordo nem discordo","Nem concordo nem discordo","Não","Não","Não","Não","Nem concordo nem discordo","Discordo parcialmente","Concordo parcialmente","Não","Não","Nem concordo nem discordo","Neutro","Neutro"
"2025/06/23 2:10:43 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo parcialmente","Não","Não","Discordo totalmente","Concordo totalmente","Não","Não","Não","Não","Concordo totalmente","Discordo totalmente","Concordo totalmente","Sim","Não","Concordo totalmente","Boa","Muito boa"
"2025/06/23 2:16:39 PM GMT-3","18 - 21 anos","Concordo parcialmente","Concordo parcialmente","Não","Não","Nem concordo nem discordo","Concordo totalmente","Não","Não","Não","Não","Concordo parcialmente","Discordo parcialmente","Concordo totalmente","Sim","Sim","Concordo parcialmente","Boa","Boa"
"2025/06/23 2:46:27 PM GMT-3","18 - 21 anos","Discordo parcialmente","Nem concordo nem discordo","Não","Não","Discordo totalmente","Concordo parcialmente","Não","Não","Não","Não","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Sim","Sim","Discordo parcialmente","Neutro","Boa"
"2025/06/23 3:47:36 PM GMT-3","22 - 25 anos","Concordo parcialmente","Concordo parcialmente","Sim","Sim","Discordo totalmente","Concordo parcialmente","Sim","Sim","Não","Não","Concordo parcialmente","Discordo totalmente","Concordo parcialmente","Sim","Sim","Discordo totalmente","Neutro","Boa"
"2025/06/23 4:14:15 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo parcialmente","Não","Não","Discordo totalmente","Concordo parcialmente","Não","Não","Sim","Não","Discordo parcialmente","Discordo totalmente","Discordo parcialmente","Sim","Não","Discordo totalmente","Boa","Neutro"
