"Timestamp","Qual sua faixa etária?","Qual período você está cursando atualmente? ","Você participa de algum laboratório, projeto de pesquisa ou atividade de extensão na universidade? ","Trabalha no contraturno das aulas? ","As dificuldades financeiras afetam minha vida acadêmica. ","Me sinto acolhido(a) por professores e monitores quando tenho dúvidas.","Considero o meio acadêmico do qual faço parte acolhedor. ","Como você avalia a infraestrutura do prédio de computação? ","Consigo acompanhar a maioria dos conteúdos ministrados em sala de aula atualmente. ","Estou satisfeito(a) com a qualidade das aulas ministradas pela maioria dos professores. ","Já experienciei ansiedade, estresse intenso ou esgotamento em decorrência das demandas acadêmicas. ","Já trancou cadeiras por não acompanhar o conteúdo? ","Considera trocar de curso? ","Me sinto preparado(a) para atuar no mercado de trabalho com o que aprendo na graduação.","Já tenho clareza sobre a área da Engenharia da Computação em que quero atuar profissionalmente. ","Como você avalia a grade currilar vigente? ","Você conhece as oportunidades de iniciação científica, monitoria ou laboratórios oferecidas pela universidade? ","Você atende aos requisitos necessários para participar de projetos de iniciação científica (CR acima de 7.0 e disciplinas pagas em caso de reprovação)?","A participação em laboratórios ou projetos de pesquisa ajuda (ou ajudaria) a compreender melhor os conteúdos das disciplinas. ","Qual o tipo de atividade que você realiza atualmente?","Qual a sua participação em relação às atividades citadas acima?","A atividade que desenvolvo no projeto contribui para a minha formação profissional.","Recebo orientação adequada do meu professor orientador.","Sinto que não tenho tempo suficiente para conciliar as disciplinas regulares, a atividade no laboratório/projeto e minha vida pessoal.","O reconhecimento (formal ou informal) pelo meu trabalho no laboratório/projeto contribuiu para minha motivação no curso.","Sua participação em projeto(s) já resultou em alguma produção acadêmica (artigo, resumo, apresentação em evento, etc.)?","Já pensei em desistir da atividade de laboratório/extensão por excesso de demandas acadêmicas."
"2026/04/09 12:41:27 AM GMT-3","18 - 21 anos","5º","Sim","Não","Discordo parcialmente","Concordo parcialmente","Nem concordo nem discordo","Boa","Nem concordo nem discordo","Nem concordo nem discordo","Concordo parcialmente","Sim","Não","Concordo parcialmente","Nem concordo nem discordo","Ruim","Sim","Não","Concordo totalmente","Laboratório;Pet saúde ","Bolsista","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Não","Nem concordo nem discordo"
"2026/04/09 1:11:32 AM GMT-3","18 - 21 anos","3º","Sim","Sim","Discordo totalmente","Concordo totalmente","Concordo totalmente","Boa","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Não","Não","Concordo parcialmente","Discordo parcialmente","Boa","Não","Não","Concordo totalmente","Projeto de Extensão","Não se aplica à minha atividade","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Não","Discordo parcialmente"
"2026/04/09 11:36:16 AM GMT-3","18 - 21 anos","6º","Sim","Não","Discordo totalmente","Concordo parcialmente","Nem concordo nem discordo","Neutro","Nem concordo nem discordo","Nem concordo nem discordo","Concordo parcialmente","Não","Não","Nem concordo nem discordo","Discordo totalmente","Neutro","Sim","Sim","Concordo parcialmente","Projeto de Extensão;Estágio (pela Universidade)","Voluntário","Nem concordo nem discordo","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Não","Nem concordo nem discordo"
"2026/04/09 11:38:08 AM GMT-3","22 - 25 anos","6º","Sim","Sim","Concordo totalmente","Concordo totalmente","Concordo totalmente","Boa","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Sim","Não","Concordo parcialmente","Concordo parcialmente","Boa","Sim","Sim","Concordo totalmente","Laboratório","Voluntário","Concordo parcialmente","Concordo totalmente","Nem concordo nem discordo","Concordo totalmente","Não","Concordo totalmente"
"2026/04/09 11:41:40 AM GMT-3","18 - 21 anos","5º","Sim","Sim","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Neutro","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Sim","Não","Concordo parcialmente","Discordo totalmente","Neutro","Sim","Não","Concordo totalmente","Laboratório","Voluntário","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Não","Concordo parcialmente"
"2026/04/09 11:41:47 AM GMT-3","18 - 21 anos","5º","Sim","Não","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Boa","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Não","Não","Nem concordo nem discordo","Concordo totalmente","Muito boa","Sim","Sim","Concordo totalmente","Iniciação Científica","Bolsista","Concordo totalmente","Concordo totalmente","Nem concordo nem discordo","Concordo totalmente","Sim","Discordo totalmente"
"2026/04/09 11:55:07 AM GMT-3","18 - 21 anos","6º","Sim","Não","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Muito boa","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Não","Não","Discordo parcialmente","Concordo parcialmente","Boa","Sim","Sim","Concordo totalmente","Projeto de Extensão;Monitoria","Bolsista","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Discordo totalmente","Não","Discordo totalmente"
"2026/04/09 12:12:07 PM GMT-3","22 - 25 anos","8º","Sim","Sim","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Neutro","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Sim","Não","Concordo parcialmente","Concordo parcialmente","Boa","Sim","Não","Concordo totalmente","Laboratório;Estágio (pela Universidade)","Bolsista","Concordo parcialmente","Nem concordo nem discordo","Discordo parcialmente","Concordo parcialmente","Não","Concordo parcialmente"
"2026/04/09 12:38:13 PM GMT-3","22 - 25 anos","10º","Sim","Sim","Concordo totalmente","Concordo totalmente","Concordo totalmente","Boa","Nem concordo nem discordo","Concordo parcialmente","Concordo totalmente","Sim","Não","Concordo parcialmente","Concordo totalmente","Boa","Sim","Sim","Concordo totalmente","Iniciação Científica","Voluntário","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Sim","Discordo parcialmente"
"2026/04/09 12:56:05 PM GMT-3","18 - 21 anos","2º","Não","Sim","Concordo totalmente","Discordo totalmente","Discordo totalmente","Muito ruim","Concordo totalmente","Discordo totalmente","Nem concordo nem discordo","Não","Sim","Discordo totalmente","Discordo totalmente","Muito ruim","Não","Sim","Concordo totalmente","Nenhum ","Não se aplica à minha atividade","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Não","Concordo totalmente"
"2026/04/09 1:02:16 PM GMT-3","Menos de 18 anos","3º","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Muito boa","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Não","Não","Discordo parcialmente","Discordo parcialmente","Neutro","Sim","Não","Concordo parcialmente","Laboratório","Voluntário","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não","Concordo parcialmente"
"2026/04/09 1:05:40 PM GMT-3","18 - 21 anos","4º","Sim","Não","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente","Boa","Discordo parcialmente","Discordo parcialmente","Concordo totalmente","Sim","Sim","Concordo parcialmente","Concordo parcialmente","Ruim","Sim","Sim","Concordo parcialmente","Iniciação Científica","Voluntário","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Sim","Concordo totalmente"
"2026/04/09 1:06:58 PM GMT-3","18 - 21 anos","4º","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Boa","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Não","Não","Nem concordo nem discordo","Concordo parcialmente","Ruim","Sim","Sim","Concordo totalmente","Laboratório","Voluntário","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Não","Nem concordo nem discordo"
"2026/04/09 1:14:04 PM GMT-3","18 - 21 anos","7º","Não","Não","Discordo parcialmente","Concordo parcialmente","Nem concordo nem discordo","Neutro","Discordo parcialmente","Discordo totalmente","Concordo totalmente","Não","Sim","Discordo totalmente","Discordo totalmente","Boa","Sim","Não","Concordo parcialmente","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:51:20 PM GMT-3","18 - 21 anos","2º","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Boa","Concordo totalmente","Concordo totalmente","Nem concordo nem discordo","Não","Não","Discordo parcialmente","Discordo totalmente","Boa","Sim","Sim","Nem concordo nem discordo","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:52:43 PM GMT-3","18 - 21 anos","2º","Não","Não","Nem concordo nem discordo","Concordo totalmente","Concordo totalmente","Muito boa","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Não","Não","Nem concordo nem discordo","Concordo totalmente","Boa","Sim","Sim","Concordo totalmente","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:52:56 PM GMT-3","18 - 21 anos","4º","Sim","Não","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Boa","Discordo totalmente","Discordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Concordo parcialmente","Muito ruim","Sim","Sim","Concordo totalmente","Laboratório","Voluntário","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Sim","Concordo parcialmente"
"2026/04/09 2:00:29 PM GMT-3","18 - 21 anos","7º","Sim","Não","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Neutro","Discordo totalmente","Nem concordo nem discordo","Nem concordo nem discordo","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Neutro","Sim","Não","Concordo totalmente","Iniciação Científica","Bolsista","Concordo parcialmente","Concordo totalmente","Nem concordo nem discordo","Concordo totalmente","Sim","Nem concordo nem discordo"
"2026/04/09 3:40:57 PM GMT-3","22 - 25 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Sim","Não","Discordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Boa","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Concordo parcialmente","Boa","Sim","Sim","Concordo totalmente","Iniciação Científica;Laboratório;Estágio (pela Universidade)","Voluntário","Concordo totalmente","Concordo totalmente","Discordo totalmente","Concordo parcialmente","Sim","Discordo totalmente"
"2026/04/09 3:44:10 PM GMT-3","22 - 25 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Neutro","Discordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Nem concordo nem discordo","Concordo totalmente","Ruim","Sim","Não","Nem concordo nem discordo","Não se aplica","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 3:47:27 PM GMT-3","Mais de 30 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Concordo totalmente","Nem concordo nem discordo","Discordo parcialmente","Muito boa","Discordo totalmente","Concordo totalmente","Concordo totalmente","Não","Não","Concordo totalmente","Concordo parcialmente","Neutro","Sim","Não","Concordo totalmente","Trabalho remoto","Não se aplica à minha atividade","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não","Nem concordo nem discordo"
"2026/04/10 10:22:16 AM GMT-3","Mais de 30 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Sim","Não","Concordo totalmente","Concordo totalmente","Concordo totalmente","Neutro","Concordo totalmente","Concordo totalmente","Discordo totalmente","Não","Não","Concordo parcialmente","Concordo totalmente","Neutro","Sim","Sim","Concordo totalmente","Estágio (pela Universidade)","Bolsista","Concordo totalmente","Concordo totalmente","Discordo totalmente","Concordo totalmente","Não","Discordo totalmente"
